amount,hour_of_day,day_of_week,merchant_bucket,merchant_name,category
217.41,23,0,1,Dominos,bills
246.01,6,1,8,Amazon,entertainment
1074.3,20,5,8,PhonePe,other
2987.4,0,6,9,Paytm,other
153.38,6,6,3,Namma Metro,transport
663.34,11,4,4,ICICI EMI,bills
2404.7,3,3,5,Amazon Prime,bills
521.48,11,4,1,Pizza Hut,food
337.41,9,0,2,Ola,transport
153.43,20,6,2,Indian Railways,transport
1204.84,8,5,5,HDFC EMI,bills
450.6,7,1,0,McDonald's,food
517.27,10,6,6,Decathlon,entertainment
653.78,12,2,0,Swiggy,food
707.28,10,1,1,BigBasket,food
371.46,4,1,7,Nykaa,entertainment
2964.47,18,3,9,D-Mart,other
2645.24,2,6,4,BSNL,bills
520.58,21,3,0,McDonald's,food
4980.99,16,2,9,Google Pay,entertainment
3433.39,3,5,8,Amazon,other
3240.71,3,2,8,Big Bazaar,other
1912.25,23,2,6,BookMyShow,entertainment
4571.88,20,2,8,PhonePe,other
1932.18,5,4,8,Apollo Pharmacy,other
1688.36,0,0,9,Google Pay,other
4072.33,7,0,5,Spotify,bills
61.11,15,6,3,Uber,transport
624.38,4,5,0,Swiggy Instamart,food
603.61,19,3,6,INOX,entertainment
362.22,12,5,3,Auto Rickshaw,transport
2366.58,7,1,4,Gas Bill,bills
465.44,18,1,1,BigBasket,food
100.55,1,6,1,Dominos,food
3410.76,6,4,4,Water Bill,transport
296.58,7,6,3,Air India,transport
279.22,21,3,7,Steam,entertainment
4346.28,1,5,5,LIC Premium,bills
696.25,7,1,0,Subway,bills
222.5,8,3,2,Rapido,transport
232.7,17,0,3,Uber,transport
677.02,2,6,0,Swiggy Instamart,food
251.05,12,0,3,RedBus,transport
147.3,14,2,2,Indian Railways,transport
1357.56,15,1,6,Decathlon,entertainment
298.01,17,0,2,Ola,transport
2613.18,16,1,5,LIC Premium,other
688.51,2,4,1,Zomato,food
352.83,18,1,1,Dominos,food
501.72,21,4,9,Google Pay,other
1377.75,21,5,8,More Supermarket,other
827.35,20,2,4,ICICI EMI,bills
117.7,19,4,7,PVR Cinemas,entertainment
248.9,11,0,0,Swiggy Instamart,transport
230.33,17,5,2,Rapido,transport
3338.74,0,5,4,Hotstar,bills
607.57,4,2,8,Zepto,other
464.92,8,2,1,Chai Point,food
1097.63,20,6,9,HDFC Bank ATM,other
4545.52,1,0,4,Water Bill,bills
106.74,4,5,6,BookMyShow,entertainment
2847.62,13,4,5,LIC Premium,bills
568.26,4,4,0,Haldirams,food
464.39,13,1,1,BigBasket,food
749.82,1,2,0,Haldirams,food
69.34,17,6,2,Ola Electric,transport
1858.95,7,6,6,INOX,entertainment
443.08,0,1,2,Rapido,transport
4050.53,23,6,4,ICICI EMI,bills
203.62,1,6,3,Uber,transport
764.35,7,1,7,Nykaa,entertainment
296.2,2,6,0,Blinkit,food
2117.86,17,2,4,Gas Bill,bills
183.93,8,0,0,KFC,food
596.41,10,3,1,Burger King,food
1987.46,18,1,9,Flipkart,other
2695.14,17,5,4,Jio,entertainment
475.46,10,4,3,Uber,transport
3654.54,9,4,5,Airtel,bills
2130.92,9,4,5,HDFC EMI,bills
471.37,21,5,2,Ola Electric,transport
214.92,0,2,2,BMTC,transport
2983.51,20,2,4,Hotstar,bills
1071.23,23,1,7,Steam,entertainment
524.71,10,0,0,Tea Stall,food
407.15,4,0,3,Auto Rickshaw,transport
508.46,2,3,1,Dunzo,food
469.43,22,3,7,Crossword,entertainment
1346.51,0,6,6,INOX,entertainment
181.92,22,4,1,Dominos,food
967.28,14,5,7,PVR Cinemas,transport
1654.76,14,4,9,Google Pay,other
2784.57,5,5,8,More Supermarket,other
1695.74,8,6,7,Steam,entertainment
1445.53,2,5,9,1mg,other
1733.93,17,0,5,HDFC EMI,bills
353.1,22,1,2,Indian Railways,transport
456.96,13,0,1,Burger King,food
454.32,18,5,2,Indian Railways,transport
481.77,15,0,0,Subway,food
4296.4,13,4,4,ICICI EMI,bills
1180.64,7,2,8,More Supermarket,other
738.65,21,6,6,Ajio,entertainment
1847.13,19,4,7,Nykaa,entertainment
473.29,0,0,1,BigBasket,food
445.29,8,3,7,Nykaa,entertainment
1819.34,12,2,5,HDFC EMI,bills
993.58,23,4,7,PVR Cinemas,entertainment
218.17,2,6,1,Burger King,food
199.52,0,4,1,Dominos,food
341.34,18,1,3,RedBus,transport
418.8,19,5,7,Myntra,entertainment
773.54,3,4,0,McDonald's,food
558.01,12,3,1,BigBasket,food
354.65,9,6,3,Uber,transport
4920.84,1,2,8,Big Bazaar,other
437.89,20,2,9,HDFC Bank ATM,other
417.65,13,2,1,Pizza Hut,food
434.66,16,5,6,Ajio,entertainment
2782.77,15,3,4,YouTube Premium,bills
609.95,7,6,7,Crossword,entertainment
232.9,14,4,1,Dunzo,food
240.63,10,1,9,HDFC Bank ATM,other
746.64,19,5,6,PlayStation Store,entertainment
4750.65,2,1,4,Gas Bill,bills
1412.16,20,5,7,Steam,entertainment
276.8,7,3,6,BookMyShow,entertainment
197.13,17,4,3,Air India,transport
